"GEOID","NAME","year","Estimate!!Total","Estimate!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"26","Michigan",2010,9877574,4848760,303091,322380,348182,223285,155576,78978,74612,186410,293837,285512,304108,330500,365442,375701,331534,120897,158663,82458,113193,145860,107898,80043,60600,5028814,289289,307112,333029,208539,150558,80563,65541,180628,291967,290631,303057,339740,375300,390084,352921,123756,170646,88597,132420,165053,136129,121430,131824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Minnesota",2010,5310584,2635397,181968,175986,186503,113005,74113,37493,35677,106065,188052,176600,168784,172447,203289,199889,175118,61232,79647,42866,54793,71670,55634,40857,33709,2675187,174150,171404,174591,106046,72882,37564,34278,100763,186252,167153,160908,177758,201393,201885,176195,61829,82971,44815,63852,79996,69474,56715,72313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Mississippi",2010,2970036,1441525,105125,106768,108367,63584,49835,23587,24014,61862,93466,89937,95810,94240,99698,97170,89545,31808,46244,23277,34852,41582,31204,18175,11375,1528511,103954,99483,100651,65236,45900,23474,19940,63850,97835,94726,96334,98417,107471,107456,96848,36060,48585,28495,39940,48928,39619,33195,32114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Missouri",2010,5996231,2932383,198743,197115,203637,125951,90058,47454,41807,120861,198341,185908,182719,186658,221323,220944,185811,68186,94656,51460,70250,89259,67960,46375,36907,3063848,188683,188976,193991,120475,86059,48766,44837,113969,202823,187968,185538,193160,225015,225998,201478,72470,102968,55780,77314,108602,84660,71472,82846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Montana",2010,990898,499235,31158,29718,34180,20956,15220,6337,8336,19636,32859,30479,28307,29689,35464,37961,38404,13413,18988,10318,14037,15864,12576,9291,6044,491663,30714,28237,28946,18691,14657,8409,6440,16311,30121,27723,26245,29564,35169,40704,38565,13378,18425,9738,14230,16937,12840,11748,13871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Nebraska",2010,1830429,906540,67347,63420,66990,37235,27844,12900,15288,39412,63789,58459,52004,60422,64006,65705,56154,22709,26495,14586,18755,24359,19504,16197,12960,923889,64290,63977,59878,37229,26653,13422,13545,36620,61999,57580,53025,57379,63791,65500,58635,22545,26289,13715,21203,29577,25980,23795,27262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Nevada",2010,2704642,1365498,95575,93983,94426,56477,38173,19445,19291,51542,99782,99408,97064,99844,97181,92877,76443,31664,47693,23208,32746,42308,28499,15581,12288,1339144,91130,89503,89388,54291,34805,16962,19948,50173,94779,92357,94297,93392,93233,90782,80361,35081,46159,26905,34346,40482,30324,23202,17244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","New Hampshire",2010,1316759,647349,35320,37759,44831,27560,18777,10859,8902,23365,36220,34739,39748,48682,56291,55551,48603,16903,23623,13012,15324,18868,15273,9471,7668,669410,33553,41346,38813,26582,20033,10897,8766,21641,35579,37131,40120,50584,56776,56724,48727,17730,24375,11876,17931,21140,17050,16071,15965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","New Jersey",2010,8801624,4284049,275711,285546,303742,189761,117532,58053,57674,165546,275613,278155,291032,315624,343346,329106,279052,95250,127894,70659,90431,118482,90337,70898,54605,4517575,262860,276159,287883,181150,108566,50554,57067,152916,273214,282467,301987,328199,359884,347463,296794,106757,148037,82102,109876,145911,125891,107033,124805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","New Mexico",2010,2065932,1020996,73152,72321,73622,44880,32310,16580,17315,39828,71887,63604,64891,60091,70911,70871,62642,26456,35268,15752,27843,30570,22782,17571,9849,1044936,70864,70497,70218,43092,30399,16304,12043,41178,66853,61513,64805,62701,72835,76436,69607,27494,37077,19623,26688,36071,25824,20797,22017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","New York",2010,19392283,9387534,588573,582563,629665,406019,292071,159889,144658,411514,681132,629100,612219,665020,706139,688860,598869,210275,292088,151306,203292,259012,198315,153509,123446,10004749,562246,575920,583041,384436,283665,149531,144787,403857,697474,651581,626287,705076,745903,734711,647565,240915,332586,178526,240960,332448,271078,244955,267201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","North Carolina",2010,9561558,4657156,323713,324639,329854,194487,147288,74314,75730,188911,306290,306079,328011,332420,336711,322464,284942,102024,154133,80184,109473,133386,92278,65823,44002,4904402,308307,306957,313390,182896,142513,74019,68419,180500,314398,316636,338215,340739,357088,343421,315760,120102,166469,91741,128379,161126,125763,102957,104607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","North Dakota",2010,674499,343445,23460,21666,20043,14067,11678,6692,5667,19579,26934,20385,19008,20629,23654,25197,23827,8080,10122,6743,6967,8750,8158,7523,4616,331054,20981,20581,18030,11629,9902,5563,6249,15766,22577,18998,18929,18001,22701,25207,22497,7088,11037,5695,7211,11521,10481,8238,12172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Ohio",2010,11536182,5630118,364474,383408,394336,246519,168425,82433,81489,221116,359125,348125,349896,379113,418624,438155,386291,136665,185000,91853,130683,169291,128302,95941,70854,5906064,351578,365139,379734,235658,165112,82760,81670,211482,362044,349917,359616,383823,431037,454095,402330,154344,196871,106160,150597,205352,168986,148659,159100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Oklahoma",2010,3761702,1856245,134077,131133,133175,74865,56447,28419,29351,81430,134648,122855,119281,115696,128456,130015,113260,43836,57070,32698,43615,55490,40467,30318,19643,1905457,129827,128013,126071,73763,57660,27748,29200,71310,131165,117987,118259,112029,131802,135702,122826,44713,59824,36503,46994,66874,53500,41420,42267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Oregon",2010,3838957,1902185,122376,119929,126703,77960,52538,27460,24564,78424,132167,131412,123944,128924,130027,136722,131647,52210,67813,35221,46506,57424,40140,30318,27756,1936772,113656,116370,118318,71199,49665,26293,27169,71447,132774,128624,124693,120298,133320,141043,140619,52317,71439,37903,50143,64119,49185,45698,50480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pennsylvania",2010,12709630,6192105,370476,389341,400527,265600,196903,102728,91888,248461,390993,367570,381655,420097,465706,482307,428906,156314,208126,109806,155429,188882,150566,118542,101282,6517525,355915,371499,383617,248199,196433,99500,89673,244041,385912,367450,379793,432411,482117,497755,450332,162892,228988,122758,174655,233619,204333,193397,212236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Rhode Island",2010,1052886,508198,29454,30937,33179,21395,18460,10439,8850,21957,32347,30089,30141,37077,38812,39351,34568,12613,15877,8502,10513,15171,11711,9053,7702,544688,27658,30358,30247,20795,19057,10333,9756,20032,32782,31399,31267,39525,42186,41014,37540,14766,16442,8776,13980,17909,15569,15037,18260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","South Carolina",2010,4636312,2253035,153080,146668,155846,92185,77238,39016,34500,95084,150164,141736,148636,148521,164089,154741,142221,56243,79108,42452,57896,73162,46035,32173,22241,2383277,148713,146055,149455,89428,71688,36498,34375,92126,151416,144111,153446,154300,171268,168680,163189,63338,84220,48412,64502,88568,63057,46401,50031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","South Dakota",2010,816463,411170,30966,26624,30891,17301,13277,7826,5138,16508,29998,24599,24761,23790,29391,29177,27759,8775,12587,6480,9041,12168,9873,7311,6929,405293,26522,24997,28134,16645,13170,5828,5187,15070,26032,23171,23165,24055,28983,30037,26561,9137,12494,7777,9114,14206,11393,10944,12671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Tennessee",2010,6356897,3095030,207588,206091,219778,132611,92454,47941,43768,125079,203526,198840,206052,219592,227163,218959,195786,78561,103241,56328,76661,96441,66342,44067,28161,3261867,198825,201811,208408,122122,90705,49693,43964,123668,206049,206240,217369,216864,235373,236617,213648,84446,114143,62059,87650,113409,91955,65292,71557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Texas",2010,25257114,12531720,983417,992673,968287,581623,397796,203328,192036,544830,929121,881619,907445,828825,878120,830406,702908,248355,318712,175890,226144,288677,205308,142064,104136,12725394,945921,946464,929862,539300,370311,184265,189395,515484,912107,884694,888481,854841,886068,849353,720800,267294,364030,192242,261632,337462,267528,209622,208238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Utah",2010,2776469,1397849,137087,128593,117463,68694,44729,18127,22642,73441,119361,110459,93888,75372,79116,76472,65375,23547,29875,16466,20218,30007,20251,15327,11339,1378620,126516,120909,112185,62229,47300,27772,22686,61272,112795,106561,90067,73122,78255,76905,67609,22355,32890,17692,23368,31846,24333,20573,19380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Vermont",2010,625960,308172,16489,16836,20559,13059,10663,6339,4428,12477,17620,16734,17207,21110,24097,25299,23731,9569,11575,6146,8950,8657,7388,4879,4360,317788,15779,15840,19309,11790,9645,4935,4654,12116,17916,17458,17887,21482,25383,26616,26725,7951,11451,7026,9101,9683,8253,7896,8892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Virginia",2010,8024617,3941957,259286,257961,268595,166651,124256,64305,58872,169051,278106,261921,269649,284489,304679,288078,243315,91412,127955,64963,86279,107152,75072,50825,39085,4082660,248146,251069,252181,149732,123418,61686,55589,152518,280480,264390,279123,286755,313794,305568,264021,101460,135831,70351,97614,126551,101115,79638,81630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Washington",2010,6744496,3358423,225961,221191,224470,139821,96171,52104,46130,141920,245636,231637,226522,235405,242609,246028,222655,79657,110100,57623,74373,87878,62732,45839,41961,3386073,212248,216031,211636,132225,89990,52614,44269,132058,234007,224763,225638,223530,246199,249775,231489,85822,113807,59913,79322,99259,77471,65246,78761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","West Virginia",2010,1853973,913160,52631,55132,54855,35940,26196,13556,14780,33826,53250,56974,59134,60852,64584,69859,69020,29091,33617,19655,28177,30344,24405,16369,10913,940813,49246,52425,53960,32494,28323,14507,12107,29248,53010,54721,56795,62316,65613,71865,71737,28290,35413,19337,28121,38843,31862,25100,25480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Wisconsin",2010,5691047,2826199,184072,186610,194495,119176,86110,46213,39974,111730,186421,178205,175270,189641,219322,218109,198850,68329,84549,47004,61732,82654,60560,48174,38999,2864848,170980,176149,188986,115740,81473,38977,39241,110826,180652,171749,166648,193064,217635,218326,198202,65093,90720,48800,69829,91674,79751,68744,81589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Wyoming",2010,564460,287053,19423,19873,19032,11466,9448,4391,3702,12925,19484,19203,17446,17152,19054,23769,21220,7469,9503,4618,7179,8115,4685,4201,3695,277407,21597,18835,16806,9686,8120,3478,3647,11080,19473,18708,14904,16562,20316,21314,20709,5593,8886,4954,5930,9281,6921,5233,5374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Puerto Rico",2010,3722133,1785266,116727,123992,134524,86765,59258,30198,29131,72263,115036,116785,116532,117810,116008,109756,102380,42096,58183,36410,45303,60760,45347,28118,21884,1936867,106520,112539,133854,82723,55508,32605,27727,72866,122030,128905,120514,132683,131846,128663,117080,50599,72306,39304,54958,76869,57069,40178,39521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01","Alabama",2011,4802740,2324413,152700,154593,162656,100841,72928,36549,35868,99386,153100,145217,141282,156432,168066,167923,151294,57498,82770,41606,62603,69656,49633,35897,25915,2478327,145765,147818,164450,95565,68936,33284,37100,101223,155977,155317,155152,160420,171338,179682,158827,65498,93495,50215,68009,88168,75520,52074,54494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02","Alaska",2011,722718,372916,27602,26470,26684,15011,10360,7715,7243,17620,29825,25798,23064,24172,26692,28741,27672,8878,10954,4790,6285,8102,4219,3372,1647,349802,26429,24250,26121,15656,8519,5180,6033,14963,27522,23134,23923,22197,24976,27575,24801,7900,10671,4560,6755,7335,4852,3299,3151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04","Arizona",2011,6482505,3228514,229035,225729,239011,137915,95272,55041,49852,136937,227982,216278,208028,211631,207857,205804,183119,70567,106409,55845,81744,110227,78697,57343,38191,3253991,218929,227147,213245,133013,89442,51805,46222,122687,213766,208689,196554,208486,209495,216819,204284,81554,110748,59874,96665,119739,88952,64640,71236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05","Arkansas",2011,2937979,1447850,102053,102440,102311,60989,41886,26375,22500,53492,96120,95101,92173,90853,99261,99053,90789,36901,48491,24909,37378,50023,35671,21176,17905,1490129,95613,94453,98733,54594,38787,22940,17848,59538,94215,97078,89532,93163,102067,102051,97511,36978,53465,28202,41586,56839,45445,36244,33247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06","California",2011,37691912,18750692,1295328,1288638,1316682,843715,580799,323584,309438,854581,1427525,1340626,1275285,1319835,1328151,1289569,1106448,394711,534054,277568,359618,466269,342310,255270,220688,18941220,1238327,1227196,1263351,794199,532750,290882,294322,794248,1339154,1297181,1265392,1309463,1322457,1312951,1173354,426398,583265,317519,403738,552279,427215,365294,410285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08","Colorado",2011,5116796,2569136,176488,171378,180542,103218,73650,35645,37341,115028,194171,189186,177598,185687,178925,185176,167830,61269,79325,41047,48456,67371,43825,31321,24659,2547660,164553,177209,159470,95719,66558,35671,33686,103330,182214,179380,167017,179245,177513,187415,173331,58945,87586,41971,59813,69927,54139,42193,50775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09","Connecticut",2011,3580709,1743795,100753,112937,121905,75717,53811,28771,23964,64368,110102,104732,100632,126478,139839,139722,118262,43358,60805,30605,42888,48500,37674,29609,28363,1836914,95453,108985,114854,73016,52292,26108,23731,59641,106666,106630,108654,131239,147359,146085,127578,43976,66972,32938,50491,58496,50590,45692,59468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Delaware",2011,907135,439918,28049,30595,27748,18191,13470,6471,5613,20249,29246,26803,25374,30552,32652,31531,26056,11997,16636,8105,12396,14755,10272,6764,6393,467217,27199,27052,28645,17146,13058,6852,6843,18834,29762,28386,27536,30539,34258,34677,30986,11732,18485,11058,12057,17381,14115,10756,9860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
